,region,week_last_day,epidemiological_week,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
0,Brasil,29/02/2020,9,211755691.6839929,2,0,2,0,0.0009444846483676286,0.0,0.0,0.0009444846483676286,0.0,0.0,0.0,2,0,0.0009444846483676286,0.0
1,Brasil,07/03/2020,10,211755691.6839929,19,0,17,0,0.008972604159492472,0.0,0.0,0.008028119511124842,0.0,8.5,0.0,17,0,0.008028119511124842,0.0
2,Brasil,14/03/2020,11,211755691.6839929,136,0,117,0,0.06422495608899874,0.0,0.0,0.055252351929506276,0.0,6.882352941176471,0.0,45,0,0.021408318696332918,0.0
3,Brasil,21/03/2020,12,211755691.6839929,1132,18,996,18,0.5345783109760778,0.008500361835308657,1.5901060070671376,0.470353354887079,0.008500361835308657,8.512820512820513,0.0,376,6,0.1778779421092367,0.002833453945102886
4,Brasil,28/03/2020,13,211755691.6839929,3953,115,2821,97,1.8667739074986178,0.05430786728113864,2.9091828990640023,1.33219559652254,0.04580750544582999,2.8323293172690764,5.388888888888889,1311,38,0.6192671011130418,0.018102622427046217
5,Brasil,04/04/2020,14,211755691.6839929,10381,445,6428,330,4.902347567352177,0.21014783426179737,4.286677584047779,3.0355736598535583,0.15583996698065872,2.2786246012052462,3.402061855670103,3415,148,1.6127075370877257,0.07004927808726578
6,Brasil,11/04/2020,15,211755691.6839929,20991,1141,10610,696,9.912838626942445,0.538828491893732,5.435662903148969,5.01049105959027,0.32868065763193477,1.6505911636589918,2.109090909090909,6619,374,3.1260867719887897,0.17677604335280783
7,Brasil,18/04/2020,16,211755691.6839929,37175,2375,16184,1234,17.555608401533295,1.121575519936559,6.388702084734364,7.6427697745908505,0.5827470280428269,1.525353440150801,1.7729885057471264,11074,753,5.229611498011559,0.35575588421847343
8,Brasil,25/04/2020,17,211755691.6839929,59506,4074,22331,1699,28.101251742882052,1.9239152287248595,6.846368433435283,10.545643341348757,0.8023397087883005,1.379819574888779,1.3768233387358184,16375,1209,7.732968058509958,0.5712557981543541
9,Brasil,02/05/2020,18,211755691.6839929,97430,6808,37924,2734,46.010569645229026,3.2150257430434075,6.987580827260597,17.909317902346974,1.2911105143185482,1.6982669831176391,1.609181871689229,25479,1889,12.032577006095527,0.8920657503832251
10,Brasil,09/05/2020,19,211755691.6839929,157248,10695,59818,3887,74.25916099325643,5.050631657145894,6.8013583638583635,28.248591348027404,1.835605914102486,1.5773125197763949,1.4217264081931236,40024,2773,18.901184197241044,1.3096853790697782
11,Brasil,16/05/2020,20,211755691.6839929,234575,15698,77327,5003,110.77624319541823,7.413260005037516,6.6921027389960575,36.51708220216181,2.362628347891623,1.2927045370958574,1.2871108824286082,58356,3874,27.558330484178725,1.8297815921042193
12,Brasil,23/05/2020,21,211755691.6839929,351125,22191,116550,6493,165.81608607904178,10.479529415963023,6.319971520113919,55.03984288362356,3.066269410925506,1.507235506356124,1.2978213072156706,84565,5127,39.93517214460426,2.4215012243065384
13,Brasil,30/05/2020,22,211755691.6839929,502913,28895,151788,6704,237.4968039822546,13.645441957291315,5.745526562248341,71.68071790321281,3.165912541328291,1.3023423423423424,1.0324965347297088,115221,6066,54.412547662999394,2.86493676671514
14,Brasil,06/06/2020,23,211755691.6839929,676893,36054,173980,7159,319.6575235437546,17.02622475612324,5.326395752356724,82.16071956150002,3.3807827988319263,1.1462039159880886,1.0678699284009547,147439,6785,69.62709344944547,3.2043215836952412
15,Brasil,13/06/2020,24,211755691.6839929,851779,42792,174886,6738,402.2460946509652,20.208193536473782,5.023838343044381,82.58857110721054,3.1819687803505405,1.005207495114381,0.9411929040368766,166884,6867,78.8100028573078,3.2428880401702522
16,Brasil,20/06/2020,25,211755691.6839929,1071337,50100,219558,7308,505.9306748641151,23.659340441609096,4.676399676292334,103.6845802131499,3.4511469051353147,1.2554349690655626,1.0845948352626893,189474,7068,89.47795696062015,3.3379661614392604
17,Brasil,27/06/2020,26,211755691.6839929,1318551,57159,247214,7059,622.6755887948925,26.99289900802264,4.33498590498206,116.74491393077747,3.333558566413545,1.12596216034032,0.965927750410509,213886,7035,101.0060217503793,3.3222247506331333
18,Brasil,04/07/2020,27,211755691.6839929,1580041,64410,261490,7251,746.1622341457181,30.417128100679477,4.076476496495976,123.4866453508256,3.4242290926568373,1.057747538569822,1.0271993200169995,242754,7206,114.63871316491766,3.402978188068566
19,Brasil,11/07/2020,28,211755691.6839929,1844313,71578,264272,7168,870.9626576424231,33.80216108042906,3.8810115202788245,124.80042349670497,3.385032979749581,1.010639030173238,0.9885533029926906,257658,7159,121.67732759276934,3.3809402129399877
20,Brasil,18/07/2020,29,211755691.6839929,2077955,78870,233642,7292,981.2982987493779,37.24575210837743,3.795558614118207,110.33564110695474,3.443591027948374,0.88409668826058,1.0172991071428572,253134,7237,119.54090331816177,3.4176177001182637
21,Brasil,25/07/2020,30,211755691.6839929,2398993,86536,321038,7666,1132.906030020701,40.86596176557055,3.607180179350252,151.60773127132336,3.6202096571931204,1.374059458487772,1.051289083927592,272984,7375,128.91459862499437,3.482944554963692
22,Brasil,01/08/2020,31,211755691.6839929,2711992,93668,312999,7132,1280.7174052479108,44.233994021649515,3.4538449965929106,147.81137522720968,3.3680322560789637,0.9749593506064702,0.9303417688494652,289226,7363,136.58491586849593,3.477277647073486
23,Brasil,08/08/2020,32,211755691.6839929,3018397,100648,306405,6980,1425.4148145894526,47.53024544445254,3.334485158844248,144.69740934154163,3.296251422803024,0.9789328400410225,0.978687605159843,313480,7259,148.03883861335822,3.4281644453583695
24,Brasil,15/08/2020,33,211755691.6839929,3320108,107364,301711,6716,1567.8955184612753,50.70182489367104,3.233750227402241,142.48070387182278,3.171579449218497,0.9846804066513275,0.9621776504297994,307038,6942,144.99649614685805,3.2786210427001614
25,Brasil,22/08/2020,34,211755691.6839929,3586586,114378,266478,7014,1693.7377085251298,54.01413255549631,3.1890494191412113,125.84219006385446,3.3123076618252734,0.883222686610697,1.0443716497915425,291531,6903,137.67343442573963,3.2600461779489316
26,Brasil,29/08/2020,35,211755691.6839929,3850070,120570,263484,6192,1818.1660050703779,56.93825702684249,3.1316313729360763,124.42829654524813,2.924124471346178,0.9887645509197758,0.8828058169375534,277224,6640,130.9170634936418,3.136003860796649
27,Brasil,05/09/2020,36,211755691.6839929,4125816,126292,275746,5722,1948.384936994768,59.640427605822275,3.061018717267081,130.21893192439006,2.702170578979785,1.0465379301969,0.9240956072351422,268569,6309,126.82980617783089,2.9795342373837457
28,Brasil,12/09/2020,37,211755691.6839929,4318971,131341,193155,5049,2039.6009031224926,62.024779100626354,3.0410252812533356,91.21596612772466,2.3843514948040783,0.7004816026343084,0.8823837818944426,244128,5654,115.28773153245429,2.670215515043347
29,Brasil,19/09/2020,38,211755691.6839929,4531145,136626,212174,5285,2139.798446013869,64.5205797839378,3.015264353711921,100.19754289137661,2.4958006833114585,1.0984649633713857,1.0467419290948703,227025,5352,107.21081364783045,2.527440919031774
30,Norte,14/03/2020,11,18672590.959272966,2,0,2,0,0.010710886370093075,0.0,0.0,0.010710886370093075,0.0,0.0,0.0,2,0,0.010710886370093075,0.0
31,Norte,21/03/2020,12,18672590.959272966,32,0,30,0,0.1713741819214892,0.0,0.0,0.16066329555139613,0.0,15.0,0.0,30,0,0.16066329555139613,0.0
32,Norte,28/03/2020,13,18672590.959272966,189,1,157,1,1.0121787619737956,0.005355443185046538,0.5291005291005291,0.8408045800523064,0.005355443185046538,5.233333333333333,0.0,63,0,0.33739292065793186,0.0017851477283488458
33,Norte,04/04/2020,14,18672590.959272966,537,16,348,15,2.8758729903699907,0.0856870909607446,2.97951582867784,1.8636942283961953,0.08033164777569807,2.21656050955414,15.0,178,5,0.9550540346666326,0.028562363653581533
34,Norte,11/04/2020,15,18672590.959272966,1689,76,1152,60,9.045343539543602,0.4070136820635369,4.499703966844287,6.169470549173612,0.32132659110279227,3.310344827586207,4.0,552,25,2.957989785874038,0.13567122735451229
35,Norte,18/04/2020,16,18672590.959272966,3463,218,1774,142,18.54589974981616,1.1674866143401452,6.2951198382905,9.500556210272558,0.7604729322766084,1.5399305555555556,2.3666666666666667,1091,72,5.844573662614121,0.3873770570516996
36,Norte,25/04/2020,17,18672590.959272966,7114,426,3651,208,38.09862281842107,2.281418796829825,5.988192296879393,19.55272306860491,1.11393218248968,2.0580608793686586,1.4647887323943662,2192,136,11.740916609350359,0.731910568623027
37,Norte,02/05/2020,18,18672590.959272966,12948,903,5834,477,69.34227835998257,4.835965196097024,6.974050046339203,31.243655541561502,2.5545463992671986,1.597918378526431,2.293269230769231,3753,275,20.098978273479656,1.4763171713444958
38,Norte,09/05/2020,19,18672590.959272966,25924,1751,12976,848,138.83450912914645,9.377381017016488,6.754358895232217,69.49223076916388,4.541415820919464,2.2242029482344874,1.7777777777777777,7487,511,40.096203126443434,2.7366314675587806
39,Norte,16/05/2020,20,18672590.959272966,43745,2910,17821,1159,234.2738621298608,15.584339668485425,6.6521888215796094,95.43935300071435,6.206958651468938,1.373381627620222,1.366745283018868,12210,828,65.39174643714658,4.434306957218534
40,Norte,23/05/2020,21,18672590.959272966,70427,4376,26682,1466,377.1677971932725,23.43541937776365,6.213526062447641,142.89393506341173,7.851079709278225,1.4972223780932608,1.2648835202761002,19159,1157,102.60850627776331,6.199818060555542
41,Norte,30/05/2020,22,18672590.959272966,106002,5662,35575,1286,567.6876885013031,30.322519313733498,5.341408652666931,190.5198913080306,6.8870999359698475,1.333295854883442,0.8772169167803547,26692,1303,142.9510597907189,6.981712765572337
42,Norte,06/06/2020,23,18672590.959272966,141817,6836,35815,1174,759.4928861737449,36.60980961297813,4.820296579394572,191.80519767244175,6.287290299244636,1.0067463106113843,0.9129082426127527,32690,1308,175.07300801462802,7.008489981497569
43,Norte,13/06/2020,24,18672590.959272966,175817,7872,34000,1036,941.5779544653271,42.15804875268635,4.477382733182798,182.08506829158227,5.548239139708214,0.9493229093955047,0.8824531516183987,35130,1165,188.1367190906849,6.240876458307565
44,Norte,20/06/2020,25,18672590.959272966,211496,8718,35679,846,1132.6548118646026,46.68875368723572,4.1220637742557775,191.0768573992754,4.530704934549371,1.0493823529411765,0.8166023166023166,35164,1018,188.32237445443312,5.4554114578340736
45,Norte,27/06/2020,26,18672590.959272966,254583,9328,43087,610,1363.4047923787027,49.95557403011411,3.6640309840012883,230.74998051410017,3.266820342878388,1.2076291375879369,0.7210401891252955,37588,830,201.30396873498594,4.448588139045325
46,Norte,04/07/2020,27,18672590.959272966,287964,9982,33381,654,1542.1748413387413,53.45803387313454,3.4664055229125865,178.77004896003848,3.5024598430204357,0.7747348388144916,1.0721311475409836,37382,703,200.19896229113803,3.766661706816065
47,Norte,11/07/2020,28,18672590.959272966,320156,10472,32192,490,1714.5772683517594,56.082201033807344,3.2709054336011194,172.40242701301815,2.6241671606728034,0.9643809352625745,0.7492354740061162,36220,584,193.9741521623856,3.1311491155238755
48,Norte,18/07/2020,29,18672590.959272966,351162,11023,31006,551,1880.6281397473124,59.03305022876799,3.1390070679629343,166.05087139555295,2.9508491949606426,0.9631585487077535,1.1244897959183673,32193,565,172.4077824562032,3.025825399551294
49,Norte,25/07/2020,30,18672590.959272966,385545,11592,34383,569,2064.7643427787675,62.08029740105947,3.0066529198926197,184.13620303145512,3.0472471722914802,1.108914403663807,1.0326678765880217,32527,536,174.19650048000872,2.8740878426416416
50,Norte,01/08/2020,31,18672590.959272966,413676,11943,28131,351,2215.4183150173117,63.960057959010804,2.8870420328953097,150.65397223854416,1.8797605579513348,0.8181659541052264,0.616871704745167,31173,490,166.94701555518407,2.625952308401153
51,Norte,08/08/2020,32,18672590.959272966,445623,12338,31947,395,2386.508658449993,66.07545801710418,2.768708078353227,171.09034343268175,2.1154000580933823,1.135651061106964,1.1253561253561253,31487,438,168.62683956756032,2.3474692627787324
